id;coord_x;coord_y
;1915370.6;4222837.0
;1913250.5;4222531.0
;1913087.0;4223524.5
;1914186.8;4224275.0
;1912974.9;4225210.0
;1912600.4;4222098.5
;1914849.6;4222164.5
;1914402.6;4224091.5
;1915052.5;4224643.5
;1915322.2;4224680.0
;1913048.1;4222115.0
;1914626.2;4223904.5
;1914914.6;4222701.0
;1913274.0;4223605.5
;1912687.9;4222887.5
;1913312.0;4223589.0
;1914993.6;4222813.0
;1914017.1;4222361.0
;1914384.8;4223660.0
;1913628.9;4222635.5
;1915539.4;4224585.0
;1912829.6;4221453.5
;1914904.8;4222666.5
;1914819.9;4223842.5
;1914295.4;4224064.5
;1914295.0;4223282.5
;1913808.2;4223133.5
;1915031.6;4224841.0
;1913321.4;4224510.5
;1915342.6;4225711.0
;1915907.1;4223808.5
;1914093.6;4221349.5
;1913003.9;4223022.5
;1912626.5;4222020.0
;1914710.9;4221660.5
;1915106.1;4224950.5
;1913007.5;4223050.0
;1912627.6;4221726.5
;1914856.9;4220763.5
;1912694.5;4222887.0
;1915194.0;4222790.0
;1915132.8;4222080.0
;1912778.9;4222138.5
;1913695.1;4223040.0
;1915239.5;4222561.5
;1912496.5;4224218.0
;1912598.1;4223042.0
;1915932.8;4223819.5
;1912607.5;4221691.5
;1915003.9;4224632.5
;1912628.0;4221910.0
;1914878.8;4222274.0
;1914989.5;4222409.5
;1914968.2;4222479.5
;1913341.5;4224210.0
;1914742.9;4225237.5
;1912522.9;4223685.5
;1914650.4;4223477.0
;1913524.5;4225157.0
;1915557.1;4223183.5
;1914804.5;4225363.0
;1915682.8;4223114.0
;1912532.0;4223589.5
;1913683.2;4224699.0
;1912427.5;4222673.0
;1915138.9;4221454.0
;1914313.5;4222052.0
;1913124.1;4221907.5
;1912585.9;4221370.5
;1912436.4;4222158.0
;1915279.4;4223101.5
;1915516.8;4222360.0
;1912995.9;4223212.5
;1913646.6;4223009.0
;1913459.8;4223727.5
;1912976.0;4225832.5
;1914569.5;4222108.0
;1915546.4;4224995.5
;1914499.0;4221732.5
;1913996.1;4221963.5
;1914941.0;4222444.0
;1913059.2;4225714.0
;1914421.4;4223824.0
;1912489.9;4222689.0
;1915564.2;4222279.0
;1914693.9;4225193.5
;1912087.0;4226322.5
;1912994.5;4225530.5
;1915265.4;4222820.0
;1915527.0;4222802.5
;1912061.2;4226357.5
;1914218.2;4222207.5
;1914843.9;4222334.0
;1912768.4;4222131.5
;1915496.6;4222684.5
;1912831.9;4221872.5
;1915153.9;4225734.5
;1913271.6;4223596.5
;1912821.0;4224997.0
;1915010.4;4222514.5
;1914004.0;4221964.0
;1914085.2;4223010.5
;1914718.2;4225375.5
;1913958.2;4224593.0
;1913745.6;4225219.5
;1912699.6;4223197.0
;1915017.9;4225600.5
;1914522.2;4223970.5
;1912726.8;4221733.5
;1912370.2;4222187.0
;1914162.0;4224742.0
;1915551.2;4222832.5
;1913760.8;4223632.5
;1915024.1;4225067.5
;1912471.9;4223747.5
;1915480.1;4222686.0
;1914886.8;4223884.5
;1914821.6;4222271.5
;1915353.2;4224671.0
;1914940.5;4224399.0
;1912936.4;4225004.5
;1914328.5;4224007.5
;1914181.8;4221773.5
;1914963.5;4223312.0
;1914460.1;4223968.5
;1912497.0;4222617.5
;1913893.9;4224649.5
;1912514.9;4223537.0
;1915366.1;4225727.0
;1913341.2;4223503.5
;1913333.1;4223470.5
;1912774.0;4221991.5
;1913925.0;4221682.0
;1916041.2;4222649.0
;1914722.4;4224228.5
;1913299.1;4223446.5
;1913238.2;4225047.0
;1915652.0;4224251.0
;1913420.9;4225308.0
;1913679.5;4223231.0
;1914210.4;4224277.0
;1915800.5;4224591.5
;1915251.8;4222854.5
;1915072.9;4224669.0
